#,category,english,type,flags,depictable,subject_phrase_EN,lithuanian_TARGET,lt_pron,gender,notes
46,Location,theater,N,,yes,a theatre building with a columned facade,teatras,teátras,M,
47,Location,library,N,,yes,a library building,biblioteka,biblioteká,F,
48,Location,hospital,N,,yes,a hospital building,ligoninė,ligóninė,F,
49,Location,church,N,,yes,a village church with a tower,bažnyčia,bažnýčia,F,
50,Location,market,N,,yes,an open-air market with stalls,turgus,túrgus,M,
51,Location,country,N,,yes,a rural landscape with a roadside border post flying the Lithuanian tricolor,šalis,šalís,F,šalis=nation; not 'countryside'
52,Location,building,N,,yes,a large multi-storey building,pastatas,pástatas,M,
53,Location,ground,N,,yes,a patch of bare earth ground,žemė,žémė,F,
54,Location,space,N,,yes,"outer space with stars, the Moon and a satellite",kosmosas (kosminė erdvė),kósmosas (kósminė erdvė́),M,outer space; erdvė=expanse (F)
55,Location,bank,N,,yes,a bank building with a columned entrance,bankas,bánkas,M,
56,Location,location,N,categoryC,category-multi,"a wall map with one location marked by a bold pin, small scenes of a house, a school and a park around it",vieta,vietá,F,
57,Clothing,hat,N,,yes,a warm cloth cap,kepurė,kepúrė,F,
58,Clothing,dress,N,,yes,a simple 1970s woman's dress,suknelė,suknélė,F,
59,Clothing,suit,N,,yes,a man's two-piece suit,kostiumas,kostiúmas,M,
60,Clothing,skirt,N,,yes,a plain skirt,sijonas,sijónas,M,
61,Clothing,shirt,N,,yes,a button-up shirt,marškiniai,marškiniái,M pl,
62,Clothing,T-shirt,N,,yes,a plain short-sleeved T-shirt,marškinėliai (maikė),marškinė́liai (máikė),M pl,stress: CHECK
63,Clothing,pants,N,,yes,a pair of trousers,kelnės,kélnės,F pl,
64,Clothing,shoes,N,,yes,a pair of leather shoes,batai,bátai,M pl,
65,Clothing,pocket,N,,yes,"a coat pocket in close view, a hand slipping a notebook in",kišenė,kišénė,F,
66,Clothing,coat,N,,yes,a long wool overcoat,paltas,páltas,M,
67,Clothing,stain,N,,yes,a dark stain on a shirt front,dėmė,dėmė́,F,
68,Clothing,clothing,N,categoryC,category-multi,"an outfitting chart — a coat, trousers, boots and a cap laid out flat in a grid",drabužiai,drabúžiai,M pl,
69,Color,red,N,,yes,"a group of plain red objects — an apple, a fire bucket, a ribbon",raudonas/raudona,raudónas/raudóna,M/F,carries m/f pair; supersedes row 518 (decision Q1)
70,Color,green,N,,yes,"a group of plain green objects — a leaf, a cucumber, a glass bottle",žalias/žalia,žálias/žaliá,M/F,carries m/f pair; supersedes row 519 (decision Q1)
71,Color,blue,N,,yes,"a group of plain blue objects — an enamel mug, work coveralls, a cornflower",mėlynas/mėlyna,mė́lynas/mė́lyna,M/F,carries m/f pair; supersedes row 520 (decision Q1)
72,Color,yellow,N,,yes,"a group of plain yellow objects — a lemon, amber beads, ripe wheat",geltonas/geltona,geltónas/geltóna,M/F,carries m/f pair; supersedes row 521 (decision Q1)
73,Color,brown,N,,yes,"a group of plain brown objects — a loaf of bread, a leather boot, a chestnut",rudas/ruda,rúdas/rudá,M/F,carries m/f pair; supersedes row 522 (decision Q1)
74,Color,pink,N,,yes,"a group of plain pink objects — a piglet, a rose, a scarf",rožinis/rožinė,róžinis/róžinė,M/F,carries m/f pair; supersedes row 523 (decision Q1)
75,Color,orange (color),N,,yes,"a group of plain orange objects — an orange, a carrot, a fox",oranžinis/oranžinė,oránžinis/oránžinė,M/F,carries m/f pair; supersedes row 524 (decision Q1)
76,Color,black,N,,yes,"a group of plain black objects — a lump of coal, rubber work boots, a black cat",juodas/juoda,juódas/juodá,M/F,carries m/f pair; supersedes row 525 (decision Q1)
77,Color,white,N,,yes,"a group of plain white objects — a goose, a stick of chalk, an enamel basin",baltas/balta,báltas/baltá,M/F,carries m/f pair; supersedes row 526 (decision Q1)
78,Color,gray,N,,yes,"a group of plain gray objects — a mouse, a woolen sock, an overcast cloud",pilkas/pilka,pílkas/pilká,M/F,carries m/f pair; supersedes row 527 (decision Q1)
79,Color,color,N,categoryC,category-multi,a painter's swatch chart of muted color squares with a paintbrush,spalva,spalvá,,
80,People,son,N,disambig,yes,"a father standing with his young son, an arrow indicating the boy",sūnus,sūnús,M,
81,People,daughter,N,disambig,yes,"a mother standing with her young daughter, an arrow indicating the girl",dukra,dukrá,F,
82,People,mother,N,,yes,a mother holding a small child,motina,mótina,F,
83,People,father,N,,yes,a father holding a child's hand,tėvas,tė́vas,M,
84,People,parent,N,,yes,two parents standing with a child between them,tėvai,tėvái,M pl,no single word; tėvai=parents(pl) — treat as category (tėvas/motina)
85,People,baby,N,,yes,a swaddled baby,kūdikis,kū́dikis,M,
86,People,man,N,,yes,"an adult man standing, front view",vyras,výras,M,
87,People,woman,N,,yes,"an adult woman standing, front view",moteris,móteris,F,
88,People,brother,N,disambig,yes,"two brothers — an older and a younger boy — side by side, an arrow indicating one",brolis,brólis,M,
89,People,sister,N,disambig,yes,"two sisters — an older and a younger girl — side by side, an arrow indicating one",sesuo,sesúo,F,
90,People,family,N,,yes,a family of four — parents and two children,šeima,šeimá,F,
91,People,grandfather,N,,yes,"an elderly grandfather with a walking stick, a child beside him",senelis,senélis,M,
92,People,grandmother,N,,yes,"an elderly grandmother in a headscarf, a child beside her",senelė,senélė,F,
93,People,husband,N,disambig,yes,"a married couple standing together, an arrow indicating the husband, wedding rings visible",vyras,výras,M,vyras=husband/man; sutuoktinis=spouse
94,People,wife,N,disambig,yes,"a married couple standing together, an arrow indicating the wife, wedding rings visible",žmona,žmoná,,
95,People,king,N,,yes,a king with a crown and mantle,karalius,karálius,M,
96,People,queen,N,,yes,a queen with a crown,karalienė,karaliénė,F,
97,People,president,N,,yes,"a male president and a female president at matching plain podiums, side by side",prezidentas/prezidentė,prezidéntas/prezidéntė,M/F,dual-gender; pl prezidentai; dual-form card: two figures m+f (decision Q7)
98,People,neighbor,N,,yes,two neighbours — a man and a woman — greeting each other over a garden fence,kaimynas/kaimynė,kaimýnas/kaimýnė,M/F,dual-gender; pl kaimynai; dual-form card: two figures m+f (decision Q7)
99,People,boy,N,,yes,a young boy,berniukas,berniúkas,M,
100,People,girl,N,,yes,a young girl,mergaitė,mergaítė,F,
101,People,child,N,,yes,a child playing with a ball,vaikas,vaíkas,M,
102,People,adult,N,,yes,"a man and a woman standing beside a child, an arrow indicating the two adults",suaugęs/suaugusi,suaúgęs/suaúgusi,M/F,suaugęs (adj) / suaugusysis (noun) | dual-gender; pl suaugusieji; dual-form card: two figures m+f (decision Q7)
103,People,human,N,,yes,"a standing human figure, front view",žmogus,žmogús,M,
104,People,friend,N,,yes,two friends — a man and a woman — shaking hands,draugas/draugė,draúgas/draúgė,M/F,dual-gender; pl draugai; dual-form card: two figures m+f (decision Q7)
105,People,victim,N,,yes,an injured person on a stretcher being helped by two aides,auka,auká,F,
106,People,player,N,,yes,two players — a man and a woman — with a ball on a sports field,žaidėjas/žaidėja,žaidė́jas/žaidė́ja,M/F,dual-gender; pl žaidėjai; dual-form card: two figures m+f (decision Q7)
107,People,fan (sports),N,,yes,two cheering spectators — a man and a woman — with scarves in a stadium stand,sirgalius/sirgalė,sirgálius/sirgálė,M/F,dual-gender; pl sirgaliai | sports fan; electric fan=ventiliatorius; stress: CHECK; dual-form card: two figures m+f (decision Q7)
108,People,crowd,N,,yes,a dense crowd of ordinary people,minia,miniá,F,
109,People,person,N,categoryC,category-multi,"three ordinary people of different ages standing in a row — a man, a woman, and an elderly person",asmuo,asmúo,M,
110,Job,teacher,N,,yes,"two teachers — a man and a woman — at a blackboard with pointers, the board bearing only simple diagrams",mokytojas/mokytoja,mókytojas/mókytoja,M/F,dual-gender; pl mokytojai; dual-form card: two figures m+f (decision Q7)
111,Job,student,N,,yes,two students — a man and a woman — at desks with books,studentas/studentė,studéntas/studéntė,M/F,dual-gender; pl studentai; dual-form card: two figures m+f (decision Q7)
112,Job,lawyer,N,,yes,two lawyers — a man and a woman — in suits with documents at a desk,advokatas/advokatė,advokátas/advokátė,M/F,dual-gender; pl advokatai; dual-form card: two figures m+f (decision Q7)
113,Job,doctor,N,,yes,two doctors — a man and a woman — in white coats with stethoscopes,gydytojas/gydytoja,gýdytojas/gýdytoja,M/F,dual-gender; pl gydytojai; dual-form card: two figures m+f (decision Q7)
114,Job,patient,N,,yes,two patients — a man and a woman — in neighbouring hospital beds,pacientas/pacientė,paciéntas/paciéntė,M/F,dual-gender; pl pacientai; dual-form card: two figures m+f (decision Q7)
115,Job,waiter,N,,yes,two waiters — a man and a woman — each carrying a tray,padavėjas/padavėja,padavė́jas/padavė́ja,M/F,dual-gender; pl padavėjai; dual-form card: two figures m+f (decision Q7)
116,Job,secretary,N,,yes,two secretaries — a man and a woman — at typewriters,sekretorius/sekretorė,sekretórius/sekretórė,M/F,dual-gender; pl sekretoriai; dual-form card: two figures m+f (decision Q7)
117,Job,priest,N,,yes,a priest in a cassock before a church,kunigas,kúnigas,M,
118,Job,police officer,N,,yes,two uniformed police officers — a man and a woman — directing traffic,policininkas/policininkė,policíninkas/policíninkė,M/F,dual-gender; pl policininkai; dual-form card: two figures m+f (decision Q7)
119,Job,police force,N,,yes,a group of uniformed police officers beside a patrol car,policija,polícija,F,the institution
120,Job,army,N,,yes,a column of soldiers marching,kariuomenė,kariuómenė,F,stress: CHECK
121,Job,soldier,N,,yes,a single soldier in uniform,kareivis,kareívis,M,
122,Job,artist,N,,yes,two artists — a man and a woman — painting at easels,menininkas/menininkė,meníninkas/meníninkė,M/F,dual-gender; pl menininkai; dual-form card: two figures m+f (decision Q7)
123,Job,author,N,,yes,two authors — a man and a woman — writing at a shared desk,autorius/autorė,aútorius/aútorė,M/F,dual-gender; pl autoriai; stress: CHECK; dual-form card: two figures m+f (decision Q7)
124,Job,manager,N,,yes,two managers — a man and a woman — at a desk directing workers,vadovas/vadovė,vadóvas/vadóvė,M/F,dual-gender; pl vadovai; dual-form card: two figures m+f (decision Q7)
125,Job,reporter,N,,yes,two reporters — a man and a woman — with notebooks and a microphone,žurnalistas/žurnalistė,žurnalístas/žurnalístė,M/F,dual-gender; pl žurnalistai; dual-form card: two figures m+f (decision Q7)
126,Job,actor,N,,yes,two actors — a man and a woman — performing on a stage,aktorius/aktorė,aktórius/aktórė,M/F,dual-gender; pl aktoriai; dual-form card: two figures m+f (decision Q7)
127,Job,job,N,categoryC,category-multi,"a chart of three trades at work — a doctor, a builder, and a teacher — in small panels",darbas,dárbas,M,
128,Society,religion,N,,abstract,,,,,
129,Society,heaven,N,,abstract,,,,,
130,Society,hell,N,,abstract,,,,,
131,Society,death,N,,abstract,,,,,
132,Society,medicine,N,,abstract,,,,,
133,Society,money,N,,abstract,,,,,
134,Society,dollar,N,,abstract,,,,,
135,Society,bill,N,,abstract,,,,,
136,Society,marriage,N,disambig,abstract,,,,,
137,Society,wedding,N,disambig,yes,a wedding scene — a couple exchanging rings before a small group of guests outside a registry office,vestuvės,vestúvės,F,promoted to picture deck (decision Q6); plural-only noun
138,Society,team,N,,abstract,,,,,
139,Society,relationship,N,,abstract,,,,,
140,Society,race ethnicity,N,,abstract,,,,,
141,Society,sex act,N,,abstract,,,,,
142,Society,sex gender,N,,abstract,,,,,
143,Society,murder,N,,abstract,,,,,
144,Society,prison,N,,abstract,,,,,
145,Society,technology,N,,abstract,,,,,
146,Society,energy,N,,abstract,,,,,
147,Society,war,N,,abstract,,,,,
148,Society,peace,N,,abstract,,,,,
149,Society,attack,N,,abstract,,,,,
150,Society,election,N,,abstract,,,,,
151,Society,magazine,N,,abstract,,,,,
152,Society,newspaper,N,,abstract,,,,,
153,Society,poison,N,,abstract,,,,,
154,Society,gun,N,,abstract,,,,,
155,Society,sport,N,,abstract,,,,,
156,Society,race sport,N,,abstract,,,,,
157,Society,exercise,N,,abstract,,,,,
158,Society,ball,N,,abstract,,,,,
159,Society,game,N,,abstract,,,,,
160,Society,price,N,,abstract,,,,,
161,Society,contract,N,,abstract,,,,,
162,Society,drug,N,,abstract,,,,,
163,Society,sign,N,,yes,"a triangular roadside warning sign on a post, its face blank",ženklas,žénklas,M,promoted to picture deck (decision Q6); verb 'to sign'; ženklas=a sign(noun)
164,Society,science,N,,abstract,,,,,
165,Society,God,N,,abstract,,,,,
166,Art,band,N,,yes,"a small band performing on a stage — accordion, guitar and drum",grupė,grúpė,F,
167,Art,song,N,,abstract,,daina,dainá,F,
168,Art,instrument,N,,yes,"a group of musical instruments — a violin, an accordion and a drum",instrumentas,instruméntas,M,
169,Art,music,N,,abstract,,,,,
170,Art,movie,N,,yes,a film projector casting its light beam onto a cinema screen before seated viewers,filmas,fílmas,M,
171,Art,art,N,,abstract,,,,,
172,Beverages,coffee,N,,yes,a cup of coffee with a small coffee pot,kava,kavá,F,
173,Beverages,tea,N,,yes,a glass of tea with a teapot,arbata,arbatá,F,
174,Beverages,wine,N,,yes,a glass of red wine with its bottle,vynas,výnas,M,
175,Beverages,beer,N,,yes,a mug of beer,alus,alús,M,
176,Beverages,juice,N,,yes,a glass of juice with a jug,sultys,súltys,F pl,
177,Beverages,water,N,,yes,a clear glass and a canister of water,vanduo,vandúo,M,
178,Beverages,milk,N,,yes,a glass of milk with a milk can,pienas,piénas,M,
179,Beverages,beverage,N,categoryC,category-multi,"a row of drinks — a glass of water, a cup of tea, and a mug of beer",gėrimas,gė́rimas,M,
180,Food,egg,N,,yes,"a hen's egg, whole and one cracked open",kiaušinis,kiaušínis,M,
181,Food,cheese,N,,yes,a wheel of cheese with a cut wedge,sūris,sū́ris,M,
182,Food,bread,N,,yes,"a loaf of bread, whole with a cut slice",duona,duóna,F,
183,Food,soup,N,,yes,a bowl of soup with a spoon,sriuba,sriubá,F,
184,Food,cake,N,,yes,a layered cake with a slice cut out,tortas,tórtas,M,
185,Food,chicken,N,,yes,a cooked chicken served whole on a platter,vištiena,vištiéna,F,vištiena=meat; the animal is višta | SPLIT? vištiena (meat) vs višta (the bird)
186,Food,pork,N,,yes,a raw cut of pork on a butcher's board,kiauliena,kiauliéna,F,
187,Food,beef,N,,yes,a raw cut of beef on a butcher's board,jautiena,jautiéna,F,
188,Food,apple,N,,yes,"a single apple, whole with a cutaway half",obuolys,obuolýs,M,
189,Food,banana,N,,yes,"a banana, whole and one peeled",bananas,banánas,M,
190,Food,orange (fruit),N,,yes,"an orange, whole and in segments",apelsinas,apelsínas,M,apelsinas=fruit; oranžinė=color
191,Food,lemon,N,,yes,"a lemon, whole with a cut half",citrina,citriná,F,stress: CHECK
192,Food,corn,N,,yes,ears of corn (maize) with husk,kukurūzai,kukurū́zai,M pl,kukurūzai (plural in Lith.)
193,Food,rice,N,,yes,a sack and a bowl of rice grains,ryžiai,rýžiai,M pl,
194,Food,oil,N,,yes,a bottle of cooking oil pouring into a pan,aliejus,aliéjus,M,FOOD oil only; machine oil=tepalas/alyva (separate card)
195,Food,oil (machine),N,,yes,an oil can lubricating machine gears,tepalas (alyva),tépalas (alyvá),M,machine/lubricating oil; alyva also = motor oil (F)
196,Food,seed,N,,yes,"seeds in an open palm beside a plain seed packet, one seed sprouting",sėkla,sė́kla,F,
197,Food,knife,N,,yes,a kitchen knife,peilis,peílis,M,
198,Food,spoon,N,,yes,a soup spoon,šaukštas,šaúkštas,M,
199,Food,fork,N,,yes,a table fork,šakutė,šakútė,F,
200,Food,plate,N,,yes,a dinner plate,lėkštė,lėkštė́,F,
201,Food,cup,N,,yes,a tea cup with a saucer,puodelis,puodélis,M,
202,Food,breakfast,N,,yes,"a simple breakfast — porridge, bread and tea — with low morning sun through the window",pusryčiai,púsryčiai,M pl,
203,Food,lunch,N,,yes,"a midday canteen meal — soup, a main course and bread — with the sun high through the window",pietūs,piétūs,M pl,
204,Food,dinner,N,,yes,"an evening family meal at home, a lamp lit, the window dark",vakarienė,vakariénė,F,
205,Food,sugar,N,,yes,a bowl of sugar cubes with a paper sack,cukrus,cúkrus,M,
206,Food,salt,N,,yes,a salt cellar with a small pile of salt,druska,druská,F,
207,Food,bottle,N,,yes,an empty glass bottle,butelis,bútelis,M,
208,Food,food,N,categoryC,category-multi,"a spread of basic foods on a table — bread, cheese, apples and eggs",maistas,maístas,M,
209,Home,table,N,,yes,a plain wooden table,stalas,stálas,M,
210,Home,chair,N,,yes,a plain wooden chair,kėdė,kėdė́,F,
211,Home,bed,N,,yes,"a single bed, neatly made",lova,lóva,F,
212,Home,dream,N,,abstract,,,,,
213,Home,window,N,,yes,a house window with frame and curtains,langas,lángas,M,
214,Home,door,N,,yes,a panel door with a handle,durys,dúrys,F pl,
215,Home,bedroom,N,,yes,a bedroom with a bed and a wardrobe,miegamasis,miegamásis,M,
216,Home,kitchen,N,,yes,a kitchen with a stove and a sink,virtuvė,virtúvė,F,
217,Home,bathroom,N,,yes,a bathroom with a bathtub and a sink,vonia,voniá,F,
218,Home,pencil,N,,yes,a wooden pencil,pieštukas,pieštúkas,M,
219,Home,pen,N,,yes,a fountain pen,rašiklis,rašíklis,M,
220,Home,photograph,N,,yes,a black-and-white family photograph print,nuotrauka,nuótrauka,F,
221,Home,soap,N,,yes,a bar of soap with lather,muilas,muílas,M,
222,Home,book,N,,yes,a closed book beside an open one,knyga,knygá,F,
223,Home,page,N,,yes,an open book with one blank page lifted mid-turn,puslapis,púslapis,M,
224,Home,key,N,,yes,a door key,raktas,ráktas,M,
225,Home,paint,N,,yes,an open paint tin with a brush,dažai,dažái,M pl,
226,Home,letter (mail),N,,yes,a sealed envelope letter,laiškas,laíškas,M,a posted letter
227,Misc,letter (alphabet),N,,yes,one single large letter A shown as an object on a stand,raidė,raidė́,F,single-glyph exception approved (decision Q2)
228,Home,note,N,,yes,a small folded blank paper note passed from one hand to another,raštelis,raštélis,M,raštelis=small note; užrašas=jotting | SPLIT? raštelis (a note) vs gaida (musical note)
229,Home,wall,N,,yes,a plain interior wall of a room,siena,siéna,F,
230,Home,paper,N,,yes,a stack of blank paper sheets,popierius,pópierius,M,
231,Home,floor,N,,yes,a room's wooden floorboards with an arrow pointing down at them,grindys,gríndys,F pl,
232,Home,ceiling,N,,yes,"a room's ceiling with a hanging lamp, an arrow pointing up at it",lubos,lúbos,F pl,
233,Home,roof,N,,yes,a house roof with tiles,stogas,stógas,M,
234,Home,pool,N,,yes,a swimming pool with lanes,baseinas,baseínas,M,
235,Home,lock,N,,yes,a closed padlock with its key,spyna,spyná,F,
236,Home,telephone,N,,yes,a rotary desk telephone,telefonas,telefónas,M,
237,Home,garden,N,,yes,a garden with vegetable beds and fruit trees,sodas,sódas,M,
238,Home,yard,N,,yes,a house yard with a fence,kiemas,kiémas,M,
239,Home,needle,N,,yes,a sewing needle with thread,adata,ádata,F,
240,Home,bag,N,,yes,a carried shopping bag,krepšys,krepšýs,M,
241,Home,box,N,,yes,"a cardboard box, one open and one closed",dėžė,dėžė́,F,
242,Home,gift,N,,yes,a wrapped gift with a ribbon,dovana,dovaná,F,
243,Home,card,N,,yes,a small blank pocket card (a pass) held in a hand,kortelė,kortélė,F,
244,Home,ring,N,,yes,a gold ring,žiedas,žiédas,M,
245,Home,tool,N,,yes,"a set of hand tools — a hammer, a wrench and a screwdriver",įrankis,į́rankis,M,
246,Electronics,clock,N,,yes,"a wall clock, its face marked only with plain strokes",laikrodis,laíkrodis,M,
247,Electronics,lamp,N,,yes,"a table lamp, lit",lempa,lémpa,F,
248,Electronics,fan (electric),N,,yes,an electric table fan,ventiliatorius,ventiliátorius,M,dual-gender; pl sirgaliai | electric fan; sports fan=sirgalius
249,Electronics,cell phone,N,,yes,"a chunky handheld mobile telephone with a short thick antenna and large buttons, built as if manufactured in 1981",mobilusis telefonas,mobilúsis telefónas,M,deadpan chunky anachronism (decision Q3)
250,Electronics,network,N,,abstract,,,,,
251,Electronics,computer,N,,yes,a desktop computer with monitor and keyboard,kompiuteris,kompiúteris,M,
252,Electronics,program,N,,abstract,,,,,
253,Electronics,laptop,N,,yes,"a chunky portable computer, thick-cased, with a small screen and a heavy keyboard, built as if manufactured in 1981",nešiojamasis kompiuteris,nešiójamasis kompiúteris,M,deadpan chunky anachronism (decision Q3)
254,Electronics,screen,N,,yes,a display screen (monitor) showing a plain diagram,ekranas,ekránas,M,
255,Electronics,camera,N,,yes,a 35mm photo camera,fotoaparatas,fotoaparátas,M,
256,Electronics,television,N,,yes,a 1970s television set on legs,televizorius,televízorius,M,
257,Electronics,radio,N,,yes,a tabletop radio receiver,radijas,rádijas,M,
258,Body,head,N,,yes,a human head in profile,galva,galvá,F,
259,Body,neck,N,,yes,"a human neck, indicated by an arrow on a figure",kaklas,káklas,M,
260,Body,face,N,,yes,"a human face, front view",veidas,veídas,M,
261,Body,beard,N,,yes,a bearded man's face,barzda,barzdá,F,
262,Body,hair,N,,yes,a head of hair being combed,plaukai,plaukái,M pl,
263,Body,eye,N,,yes,"a human eye, external close view",akis,akís,F,
264,Body,mouth,N,disambig,yes,"a slightly open mouth in close view, the whole mouth circled",burna,burná,F,
265,Body,lip,N,disambig,yes,"closed lips in close view, the upper and lower lip each indicated",lūpa,lū́pa,F,
266,Body,nose,N,,yes,a human nose in profile,nosis,nósis,F,
267,Body,tooth,N,,yes,a single tooth beside a smiling mouth showing teeth,dantis,dantís,M,
268,Body,ear,N,,yes,"a human ear, external side view",ausis,ausís,F,
269,Body,tear,N,,yes,a tear rolling down a cheek,ašara,ášara,F,
270,Body,tongue,N,,yes,a tongue shown out of an open mouth,liežuvis,liežúvis,M,
271,Body,back,N,,yes,"a person's back, seen from behind and indicated",nugara,núgara,F,nugara=body; 'back' direction=atgal
272,Body,toe,N,,yes,"the toes of a bare foot, one toe indicated",kojos pirštas,kójos pírštas,,literally 'foot-finger'
273,Body,finger,N,,yes,"a hand with one finger extended, pointing",pirštas,pírštas,M,
274,Body,foot,N,,yes,a bare human foot,pėda,pėdá,F,
275,Body,hand,N,,yes,"an open human hand, the palm-to-fingers area highlighted",plaštaka,plaštaká,F,hand=plaštaka; arm=ranka (Lith. 'ranka' colloquially covers both)
276,Body,leg,N,,yes,"a human leg, the whole limb indicated",koja,kója,F,
277,Body,arm,N,,yes,"a human arm, the whole limb from shoulder to hand indicated",ranka,ranká,F,arm=ranka; hand=plaštaka
278,Body,shoulder,N,,yes,"a person's shoulder, indicated by an arrow",petys,petýs,M,
279,Body,heart,N,,yes,a hand held over a chest with a simple schematic heart symbol beside it,širdis,širdís,F,
280,Body,blood,N,,yes,a first-aid scene — a finger with a drop of blood being bandaged,kraujas,kraújas,M,
281,Body,brain,N,,yes,"a standalone simplified schematic drawing of a brain, textbook-plate style",smegenys,smégenys,F pl,
282,Body,knee,N,,yes,"a bent knee, indicated on a walking figure",kelis,kélis,M,knee: dictionaries vary kẽlis/kelỹs — confirm preferred form
283,Body,sweat,N,,yes,"a worker wiping sweat from his brow, drops visible",prakaitas,prákaitas,M,
284,Body,disease,N,,abstract,,,,,
285,Body,bone,N,,yes,a single long bone shown as a clean schematic object,kaulas,kaúlas,M,
286,Body,voice,N,,abstract,,,,,
287,Body,skin,N,,yes,a forearm with a close-up of the skin surface,oda,óda,F,
288,Body,body,N,,yes,"a full human body standing, front view",kūnas,kū́nas,M,
289,Nature,sea,N,disambig,yes,a seaside scene with waves and the beach shore in view,jūra,jū́ra,F,
290,Nature,ocean,N,disambig,yes,"open ocean water to the horizon with a steamship, a small globe inset showing the oceans",vandenynas,vandenýnas,M,
291,Nature,river,N,,yes,a river winding through a valley,upė,úpė,F,
292,Nature,mountain,N,,yes,a single mountain peak,kalnas,kálnas,M,
293,Nature,rain,N,,yes,"rain falling on a street, a figure with an umbrella",lietus,lietús,M,
294,Nature,snow,N,,yes,"snow falling on a village, with snowdrifts",sniegas,sniégas,M,
295,Nature,tree,N,,yes,a single deciduous tree (an oak),medis,médis,M,
296,Nature,sun,N,,yes,the sun with rays above a field,saulė,saúlė,F,
297,Nature,moon,N,,yes,the crescent moon in a night sky,mėnulis,mėnúlis,M,
298,Nature,world,N,,abstract,,,,,
299,Nature,Earth,N,,yes,the planet Earth seen from space,Žemė,Žémė,,
300,Nature,forest,N,,yes,the edge of a pine forest,miškas,míškas,M,
301,Nature,sky,N,,yes,a wide sky with clouds above a low horizon,dangus,dangús,M,
