id,level,phase,category,english,lithuanian_TARGET,accented_form_FILL_ME,notes
A2-0290,A2,P-C,Home,to rest,ilsėtis,,not in Wiktionary (en or lt)
A2-0288,A2,P-C,Home,to tidy up,tvarkyti,,not in Wiktionary (en or lt)
A2-0658,A2,P-F,Location,cemetery,kapinės,,not in Wiktionary (en or lt)
A2-0647,A2,P-F,Location,corner shop,krautuvėlė,,not in Wiktionary (en or lt)
A2-0651,A2,P-F,Location,fire station,gaisrinė,,not in Wiktionary (en or lt)
A2-0869,A2,P-F,Money & admin,loan,paskola,,not in Wiktionary (en or lt)
A2-0877,A2,P-F,Money & admin,permission,leidimas,,not in Wiktionary (en or lt)
A2-0876,A2,P-F,Money & admin,signature,parašas,,not in Wiktionary (en or lt)
A2-0946,A2,P-G,Opinion & discourse,By the way,Beje,,not in Wiktionary (en or lt)
A2-0945,A2,P-G,Opinion & discourse,Finally,Galiausiai,,not in Wiktionary (en or lt)
A2-0940,A2,P-G,Opinion & discourse,For example,Pavyzdžiui,,not in Wiktionary (en or lt)
A2-0933,A2,P-G,Opinion & discourse,I agree,Sutinku,,not in Wiktionary (en or lt)
A2-0934,A2,P-G,Opinion & discourse,I don't agree,Nesutinku,,not in Wiktionary (en or lt)
A2-0938,A2,P-G,Opinion & discourse,It depends,Priklauso,,not in Wiktionary (en or lt)
A2-0937,A2,P-G,Opinion & discourse,It doesn't matter,Nesvarbu,,not in Wiktionary (en or lt)
A2-0948,A2,P-G,Opinion & discourse,Luckily,Laimei,,not in Wiktionary (en or lt)
A2-0947,A2,P-G,Opinion & discourse,Unfortunately,Deja,,not in Wiktionary (en or lt)
A2-0584,A2,P-F,People,nephew,sūnėnas,,not in Wiktionary (en or lt)
A2-0590,A2,P-F,People,stranger,nepažįstamasis,,not in Wiktionary (en or lt)
A2-0578,A2,P-F,People,teenager,paauglys,,not in Wiktionary (en or lt)
A2-0362,A2,P-D,Politeness,Excuse me (formal),Atleiskite,,not in Wiktionary (en or lt)
A2-0357,A2,P-D,Politeness,Please / you're welcome,Prašau,,not in Wiktionary (en or lt)
A2-0361,A2,P-D,Politeness,Sorry / excuse me,Atsiprašau,,not in Wiktionary (en or lt)
A2-0358,A2,P-D,Politeness,Thank you,Ačiū,,not in Wiktionary (en or lt)
A2-0269,A2,P-C,Shopping,card (bank),kortelė,,source gave an unstressed form — confirm
A2-0267,A2,P-C,Shopping,price tag,kainoskaitė,,not in Wiktionary (en or lt)
A2-0273,A2,P-C,Shopping,to order,užsisakyti,,not in Wiktionary (en or lt)
A2-0277,A2,P-C,Shopping,to save (money),taupyti,,not in Wiktionary (en or lt)
A2-0276,A2,P-C,Shopping,to spend,išleisti,,not in Wiktionary (en or lt)
A2-0338,A2,P-C,Society,news,naujienos,,not in Wiktionary (en or lt)
A2-0320,A2,P-C,Technology,charger,kroviklis,,not in Wiktionary (en or lt)
A2-0318,A2,P-C,Technology,file,failas,,not in Wiktionary (en or lt)
A2-0311,A2,P-C,Technology,internet,internetas,,not in Wiktionary (en or lt)
A2-0321,A2,P-C,Technology,to download,atsisiųsti,,not in Wiktionary (en or lt)
A2-0734,A2,P-F,Transportation,fuel,kuras,,not in Wiktionary (en or lt)
A2-0735,A2,P-F,Transportation,road sign,nuoroda,,not in Wiktionary (en or lt)
A2-0731,A2,P-F,Transportation,traffic,eismas,,not in Wiktionary (en or lt)
A2-0214,A2,P-C,Travel,arrival,atvykimas,,not in Wiktionary (en or lt)
A2-0213,A2,P-C,Travel,distance,atstumas,,not in Wiktionary (en or lt)
A2-0221,A2,P-C,Travel,guide,gidas,,not in Wiktionary (en or lt)
A2-0216,A2,P-C,Travel,timetable,tvarkaraštis,,not in Wiktionary (en or lt)
A2-0226,A2,P-C,Travel,"to book, reserve",rezervuoti,,not in Wiktionary (en or lt)
A2-0225,A2,P-C,Travel,"to leave, depart",išvykti,,not in Wiktionary (en or lt)
A2-0415,A2,P-F,Verbs,to accompany,palydėti,,not in Wiktionary (en or lt)
A2-0470,A2,P-F,Verbs,to add,pridėti,,not in Wiktionary (en or lt)
A2-0409,A2,P-F,Verbs,to approach,artintis,,not in Wiktionary (en or lt)
A2-0455,A2,P-F,Verbs,to be surprised,stebėtis,,not in Wiktionary (en or lt)
A2-0481,A2,P-F,Verbs,to burn,deginti,,not in Wiktionary (en or lt)
A2-0439,A2,P-F,Verbs,to complain,skųstis,,not in Wiktionary (en or lt)
A2-0474,A2,P-F,Verbs,to cover,uždengti,,not in Wiktionary (en or lt)
A2-0450,A2,P-F,Verbs,to decide,nuspręsti,,not in Wiktionary (en or lt)
A2-0408,A2,P-F,Verbs,to descend,leistis,,not in Wiktionary (en or lt)
A2-0432,A2,P-F,Verbs,to disagree,nesutikti,,not in Wiktionary (en or lt)
A2-0430,A2,P-F,Verbs,to discuss,diskutuoti,,not in Wiktionary (en or lt)
A2-0503,A2,P-F,Verbs,to divorce,skirtis,,not in Wiktionary (en or lt)
A2-0506,A2,P-F,Verbs,to earn,uždirbti,,not in Wiktionary (en or lt)
A2-0473,A2,P-F,Verbs,to empty,ištuštinti,,not in Wiktionary (en or lt)
A2-0456,A2,P-F,Verbs,to enjoy,mėgautis,,not in Wiktionary (en or lt)
A2-0424,A2,P-F,Verbs,to enter (vehicle),įlipti,,not in Wiktionary (en or lt)
A2-0472,A2,P-F,Verbs,to fill,pripildyti,,not in Wiktionary (en or lt)
A2-0491,A2,P-F,Verbs,"to fix, arrange",sutvarkyti,,not in Wiktionary (en or lt)
A2-0496,A2,P-F,Verbs,to forbid,drausti,,not in Wiktionary (en or lt)
A2-0482,A2,P-F,Verbs,to freeze,šaldyti,,not in Wiktionary (en or lt)
A2-0459,A2,P-F,Verbs,to imagine,įsivaizduoti,,not in Wiktionary (en or lt)
A2-0508,A2,P-F,Verbs,to lend,skolinti,,not in Wiktionary (en or lt)
A2-0421,A2,P-F,Verbs,to lower,nuleisti,,not in Wiktionary (en or lt)
A2-0488,A2,P-F,Verbs,to measure,matuoti,,not in Wiktionary (en or lt)
A2-0411,A2,P-F,Verbs,to move (house),kraustytis,,not in Wiktionary (en or lt)
A2-0410,A2,P-F,Verbs,to move away,tolti,,not in Wiktionary (en or lt)
A2-0497,A2,P-F,Verbs,to order (command),liepti,,not in Wiktionary (en or lt)
A2-0516,A2,P-F,Verbs,to practise,treniruotis,,not in Wiktionary (en or lt)
A2-0492,A2,P-F,Verbs,to prepare,ruošti,,not in Wiktionary (en or lt)
A2-0505,A2,P-F,Verbs,to raise (children),auginti,,not in Wiktionary (en or lt)
A2-0517,A2,P-F,Verbs,to relax,atsipalaiduoti,,not in Wiktionary (en or lt)
A2-0471,A2,P-F,Verbs,to remove,pašalinti,,not in Wiktionary (en or lt)
A2-0510,A2,P-F,Verbs,to rent,nuomotis,,not in Wiktionary (en or lt)
A2-0511,A2,P-F,Verbs,to share,dalintis,,not in Wiktionary (en or lt)
A2-0418,A2,P-F,Verbs,to take away,išsinešti,,not in Wiktionary (en or lt)
A2-0423,A2,P-F,Verbs,to turn around,apsisukti,,not in Wiktionary (en or lt)
A2-0443,A2,P-F,Verbs,to whisper,šnabždėti,,not in Wiktionary (en or lt)
A2-0453,A2,P-F,Verbs,to worry,nerimauti,,not in Wiktionary (en or lt)
A2-0799,A2,P-F,Work & culture,eraser,trintukas,,not in Wiktionary (en or lt)
A2-0813,A2,P-F,Work & culture,exhibition,paroda,,not in Wiktionary (en or lt)
A2-0784,A2,P-F,Work & culture,nurse (male),slaugytojas,,not in Wiktionary (en or lt)
A2-0811,A2,P-F,Work & culture,play (theatre),spektaklis,,not in Wiktionary (en or lt)
A2-0781,A2,P-F,Work & culture,secretary,sekretorė,,not in Wiktionary (en or lt)
A2-0255,A2,P-C,Work & school,degree,diplomas,,not in Wiktionary (en or lt)
A2-0265,A2,P-C,Work & school,to forget,pamiršti,,not in Wiktionary (en or lt)
